name of item,price,number of downloads,item URL
Digital Birthday Dinner Invitation. Editable Animated Video Dinner Party Invite In Black and Gold. Easy To Edit In Canva.  Send By Phone.,34.07,225,https://www.etsy.com/listing/1564035241/digital-birthday-dinner-invitation?click_key=2b878a43aaea88eb78d8aa87d89359114b8ca8ec%3A1564035241&click_sum=22473f5e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-505174-1-1&pro=1&bes=1&sts=1&dd=1
Building Blocks Birthday Invite Template | Editable via Canva | Instant Download,30.97,168,https://www.etsy.com/listing/1464877084/building-blocks-birthday-invite-template?click_key=99148714633d25f7a6d4377c5bad192dbcfd9063%3A1464877084&click_sum=938cd149&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-505174-1-2&pro=1&bes=1&sts=1&dd=1
"Paris Birthday Card, Canva Template, Paris Invitation, Digital Birthday Card, Editable, Birthday Invitation Card, France, Personalizable",51.78,27,https://www.etsy.com/listing/1457740092/paris-birthday-card-canva-template-paris?click_key=d887c683a32ffc4a2de0150a9ae9d1569037f556%3A1457740092&click_sum=5fe21556&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-505174-1-3&sts=1&dd=1
"Construction Invitation, Construction Birthday Invitations, Dump Truck Party Invite, Printable template Digital Instant download K1",14.17,1100,https://www.etsy.com/listing/1330889094/construction-invitation-construction?click_key=d19bc2231ed733e783fd76f880c5d9dab0ce8858%3A1330889094&click_sum=fefa46e6&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-505174-1-4&pro=1&bes=1&sts=1&dd=1
"Greeting Card Drag & Drop Canva Template Bundle 5x7 4x6 and 4.75x4.75, Canva Template, Printable Card Template, Commercial Use Card Template",12.65,901,https://www.etsy.com/listing/1482391656/greeting-card-drag-drop-canva-template?click_key=f73a1f52d22f42e2f8f118bc116c5846b969bf9e%3A1482391656&click_sum=7e318b60&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-505175-1-1&pro=1&sts=1&dd=1
Printable Greeting Card Canva Template Bundle 5x7 4x6 Editable Drag and Drop Canva Card Template Commercial Use Card Design A4 US Letter POD,17.44,7,https://www.etsy.com/listing/1552527198/printable-greeting-card-canva-template?click_key=cde5993c06c12ec2d35d4fb715c29dfaf44122b9%3A1552527198&click_sum=8db7ac88&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-505175-1-2&pro=1&dd=1
"Drag and Drop Greeting Card Templates, Canva Template Bundle 5x7 4x6 and 4.75x4.75, Printable Card Template, Foldable Cards Instant Download",10.47,193,https://www.etsy.com/listing/1600857451/drag-and-drop-greeting-card-templates?click_key=2a85ce4a18a235b24ff8172946b2099c39722242%3A1600857451&click_sum=28f50019&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-505175-1-3&pro=1&dd=1
"Drag and Drop Greeting Card Templates, Editable Canva Templates, Blank Templates, 4x6, 5x7, 4.75x4.75 Foldable Cards - Instant Download",16.82,470,https://www.etsy.com/listing/1438646848/drag-and-drop-greeting-card-templates?click_key=ed238b487b280d7f8c2e4804de26c674133c6195%3A1438646848&click_sum=7165ace0&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-505175-1-4&pro=1&bes=1&sts=1&dd=1
"Greeting Card Drag & Drop Canva Templates Bundle, 4.75”x4.75”, 5”x7”, 4”x6”, Greeting Card, Printable, Blank Templates, Editable Canva Card",3.81,138,https://www.etsy.com/listing/1568701856/greeting-card-drag-drop-canva-templates?click_key=e6f8fde1c28fc769c24759f0d0ef8f923206d5ad%3A1568701856&click_sum=9ce5183f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-505175-1-5&pro=1&dd=1
"Drag and Drop Greeting Card Templates, Editable Canva Templates, Blank Templates, 3x4, 3x5, 4x5, 4x6, 5x7, 4.75x4.75 Foldable Cards Download",22.63,470,https://www.etsy.com/listing/1484277917/drag-and-drop-greeting-card-templates?click_key=3c82a5e0eaa69d7f2d3c5e165c0c0d07aedf019c%3A1484277917&click_sum=030c12e2&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-505175-1-6&pro=1&sts=1&dd=1
