Company Name,ABN,Telephone,Facsimile,Address,Email,Website,Description
A & A Electroplaters,75 690 450 987, 03 9794 9625, 03 9794 6177, 177-179 Ordish RoadDandenong South VIC 3175,mark@aaelectroplating.com,http://www.aaelectroplating.com,We are an Electroplating business which is the oldest in Dandenong we have the largest plating line in Dandenong. We plate GOLD CHROMATE and PASSIVE BLUE ZINC. We pride ourselves on our quality and service. Remember if you make it we'll plate it!
A.B.U. Engineering Pty Ltd,, 03 9706 4502,, 93 Assembly DrDandenong South VIC 3175,Jono@abu.com.au,https://abu.com.au/,"A.B.U. Engineering is a manufacturer of high quality, precision tooling and componentry, supporting clients from a diverse range of manufacturing sectors & industries. A.B.U. Engineering is a manufacturer of high quality, precision tooling and componentry, supporting clients from a diverse range of manufacturing sectors & industries.

Established in 1958 A.B.U. has been at the forefront of injection mould tooling and has innovated its tool design and manufacturing processes to deliver the highest quality thin-wall packaging, caps & closures and medical tooling. With dedicated in house testing, servicing, refurbishment and repair facilities A.B.U. is able to provide its clients with peace of mind for the lifetime of their tools."
A.W. Bell Pty Ltd,59 287 429 724, 03 9799 9555, 03 9799 9666, 145 Abbotts RoadDandenong South VIC 3175,accounts@awbell.com.au,http://www.awbell.com.au,"A.W. Bell Pty Ltd is proud to be Australian owned and managed. The business was established in 1952 by Alan Bell and is now run by his son Geoff. A.W. Bell has steadily grown from its foundation as a patternmaker and is now focused around the investment casting foundry and employs over 100 people. Patternmaking is still an important part of the business as is moldmaking, production machining and the manufacture of grinding and cutoff machines under the auspices of Bell Machinery. A.W.Bell's facilities include, investment casting, wood and metal patternmaking, toolmaking, CNC machining, rapid prototyping and machine building. The Investment Foundry cast stainless steel, nickel and cobalt based alloys, aluminium and copper base metals. The wood and metal patternmaking and toolmaking section produces highly accurate models for high and low volume foundry tooling, foam patterns for press tools and dies for investment casting tooling. The Rapid Prototyping section can take customer's files and produce a finished metal part in as little as 7 days or a plastic part in as little as 1 day. The CNC section machines production parts to customer's requirements."
ABC Specialty Metals,36 123 155 993, 03 9703 2128,, 80-82 Hallam South RdHallam VIC 3803,ajenkins@abcspecialtymetals.com.au,https://www.abcspecialtymetals.com.au,"ABC Specialty Metals is a 100% Australian owned, family operated business.  Since we began in 2007 our philosophy has been to supply the highest quality steel (Australian manufactured wherever possible) and back it up with exceptional customer service.  Every customer is important to us, regardless of size."
ABECK Group,61 053 180 573 & 15 151 866 376, 03 9706 4440, 03 9706 4007, 4 Monterey RoadDandenong VIC 3175,sales@abeckgroup.com.au,http://www.abeckgroup.com.au,"Our MissionOur Mission
To provide excellence in Engineered Structural Products to customers while maintaining or improving the quality and quantity of manufacturing jobs in Australia.

Our Core Values
� Customer satisfaction and service come first;
� Maintain honesty, fairness and integrity at all times;
� Value respect for every individual;
� Promote individual productivity and personal accountability;
� Drive continuous innovation; and
� A steadfast commitment to excellence in all aspects of the business.

Together, ABECK Group is committed to providing a safe and respectful environment for workers and customers alike by encouraging fearless competition, ceaseless collaboration and boundless innovation.
To provide excellence in Engineered Structural Products to customers while maintaining or improving the quality and quantity of manufacturing jobs in Australia."
Abrasiflex Pty Ltd,, 03 9565 5100,, 82 Logis BoulevardDandenong South VIC 3175,ppapadopoulos@abrasiflex.com.au,https://abrasiflex.com.au/,"Abrasiflex Pty Ltd was established in 1975 and is now a wholly owned subsidiary of CIL Group Pty Ltd. We have since grown into one of the leading suppliers in the nation of industrial abrasive products with warehouses and manufacturing capability in Melbourne (Dandenong South) Perth, Brisbane, Sydney and Adelaide."
Acacia Consulting Services - Accounting ERP Software Solutions,41 960 713 162, 03 8560 5220,, 1 Huntingdale RoadBurwood VIC 3125,info@acaciacs.com.au,https://acaciacs.com.au/,"At Acacia Consulting Services, we have been providing client-first ERP solutions and services for over 30 years. Our focus is on helping Australian companies to make faster, smarter decisions to improve business performance. As a MYOB Advanced Platinum Partner, we offer tailored solutions and measure our success through the value of the efficiencies we create for our clients, who are typically small to mid-sized companies."
Ace Tooling,, 03 9794 5550,, 39 Rodeo DriveDandenong VIC 3175,mohan@acetooling.net.au,https://acetooling.net.au,"At Ace Tooling, we will provide you with excellent service and quality products with competitive pricing and prompt delivery. We will provide you with your quotation requirements and we will communicate with you throughout the manufacturing process"
Ace Wire Works Vic. Pty Ltd,29005279907, 03 9702 4244, 03 9702 4344, 67 - 83 Abbott RoadHallam VIC 3803,,https://acewire.com.au/,"Ace Wire is an Australian-owned family business, established in 1954 in a small shed in Springvale. Our premises have grown, along with our reputation for quality and service. Now situated in a modern facility in Hallam, Victoria, our state of-the-art manufacturing plant includes numerous hi-tech automated wire forming and mesh welding machines. Ace Wire is committed to designing and manufacturing high quality wire and mesh products, point-of-sale, display and merchandising stands and accessories for the Australian market. We are pro-active in our search for cost-effective processes to better serve our customers and achieve the highest standard of quality within the metal manufacturing industry"""
Advanced Cutting Technology,, 03 9768 3553, 03 9768 3554, 31 Nicholas DveDandenong VIC 3175,,http://www.actlaser.com.au,"Located in Dandenong Victoria, Advanced Cutting Technology is a fully Australian owned, quality assured company, established in 1995 who have based their reputation on second to none service and quality. Advanced Cutting Technology is able to process flat sheet and plate, round tube, RHS and 3D formed components. As well as bevelling and chamfering of plate. We are also able to organise a complete service to include folding, welding, plating and powder coating. Our capabilities are: 2D CUTTING - up to: 20MM MILD STEEL 12MM BISALLOY 12MM STAINLESS STEEL 12MM ALUMINIUM 3MM BRASS,COPPER,BRONZE 6MM TITANIUM 32MM TIMBER 30MM ACRYLIC 3D CUTTING - up to: TUBE & PIPE UP TO 285MM OD RHS UP TO 200 X 200 12MM TOOL STEEL I &C CHANNEL 3D FORMED COMPONENTS (2700 X 1170 X 300)"
Advanced Molecular Technologies Pty Ltd,60 114 049 633, 03 9764 9220, 03 9764 9229, Unit 1/7-11 Rocco DriveScoresby VIC 3179,enquiries@amtechpl.com,http://www.amtechpl.com/Home.aspx,"Advanced Molecular Technologies (AMT), established in 2005, is a specialist chemical manufacturer providing products and contract services to the chemical and pharmaceutical industries. AMT is also focused on the development and commercialization of new products and services within its area of expertise. In particular, AMT offers:  Scale-up gram-kilogram-ton  Custom synthesis / Process development  Contract services / CRO / consultancy  Collaborations / co-development options.  Chemical analysis (purity, impurity profiles, identification of components)  Development pharmaceuticals and veterinary drugs (GLP synthesis)"
Advanced Precast (Aust),84083198547, 03 9706 5111,, 45 Bangholme RoadDandenong South VIC 3175,info@advprecast.com.au,http://www.advprecast.com.au/,"With over 25 years of experience our in house engineering, detailing, manufacturing, and construction expertise has enabled the company to promote and lead by example in the delivery of innovative and cost effective precast solutions for building structures."
Alpha Detroit Heat Treatment,18 428 460 433   & 16 303 896 550, 03 9555 3682, 03 9553 6846, 8 & 14 -16 Independence StreetMoorabbin VIC 3189,info@alphadetroit.com.au,http://alphadetroit.com.au/,"Alpha Detroit Heat Treatment provides the widest range of heat treatment services in Australia. We pride ourselves in being your 'one stop heat treatment shop' for all your specialty and general heat treatment requirements. Established in 1955 we have been a family owned and operated business for over 60 years. Contact us with all the details of your next project, so we can help you with your heat traetment needs."
Alstom Group,, 03 9794 2111, 03 9706 9219, 35-45 Frankston-Dandenong RoadDandenong VIC 3175,todd.garvey@alstomgroup.com,https://www.bombardier.com/en/home.html,"With over 68,000 employees across four business segments, Bombardier is a global leader in the transportation industry, creating innovative and game-changing planes and trains. Our products and services provide world-class transportation experiences that set new standards in passenger comfort, energy efficiency, reliability and safety."
Altec Australia Holdings Pty Ltd,87 609 850 857, 03 8788 8000,, 44-50 Gaine RoadDandenong South VIC 3175,,https://www.altecaus.com.au/,"Altec Australia is a wholly-owned subsidiary of Altec Worldwide, LLC. Altec is a leader in the design, manufacture and supply of both insulated and non-insulated trucks and cranes. Our full line of products range from aerial devices with superior side reach and digger derricks with industry leading safety features, to boom truck cranes designed with versatility and strength and wood chippers built for durability and performance. Our standard features coupled with competitive specifications provide the flexibility to select the equipment needed for your work."
AMAC Corrosion Protection Pty Ltd,75005052844, 03 9729 8888, 03 9720 4627, 1/199 Liverpool RoadKilsyth VIC 3137,markrigg@amacgroup.com.au,www.amacgroup.com.au,"Since the late 1974, AMAC has been providing innovative cathodic protection systems to a wide range of industries including mining, construction, manufacturing, petrochemical, pipelines, shipyards and government bodies. AMAC has built its reputation on dedication to excellence, supply of quality products and delivery of professional services. Since the 1970s, AMAC Corrosion has been providing innovative cathodic protection systems to a wide range of industries including mining, construction, manufacturing, petrochemical, pipelines, shipyards and government bodies. The company was formed in response to a significant demand for cathodic protection systems and services for the burgeoning Australasian petroleum and gas extraction and pipeline industries. AMAC Corrosions initial success in Australasian markets lead to the successful completion of numerous projects undertaken all over the world. Today, AMAC Corrosion Cathodic Protection Systems protect billions of dollars worth of plant, equipment and infrastructure worldwide. AMAC Corrosions capability and reputation as a leader in the cathodic protection industry has been sustained by providing customers with high quality product, excellent support and friendly sales and service. AMAC Corrosions strength is in the expertise and commitment of its people and the wide range of experience they have accumulated in successfully completing corrosion protection projects throughout the world. AMAC Corrosion has a strong tradition in problem solving and takes pride in its ability to provide practical and cost effective solutions. AMAC Corrosion is located in Melbourne, Australia. Factories include casting facilities for the production of Aluminium, Magnesium and Zinc sacrificial anodes as well as assembly areas for the production of impressed current anodes and associated cathodic protection materials and equipment. Products supplied by AMAC Corrosion are approved by national and international standards. All raw materials used in the manufacturing process are subject to thorough quality inspections. We are proud to be certified to the requirements of ISO 9001:2008, by Lloyds Register of Quality Assurance"
Andrew Donald Design Engineering,1234, 9760 9600,," 6B, 841 Mountain HwyBayswater VIC 3153",,https://www.adde.com.au/,"Andrew Donald Design Engineering is an Australian company that produces quality Industrial Automation and robotic systems for the manufacturing industry. We develop systems that are at the fore-front of today's thinking with potential to lift the standard of automation solutions locally, nationally and internationally. Our team of Electrical and Mechanical Engineers has extensive experience in all elements of Industrial Automation. We use the latest technological tools when designing and manufacturing our projects and provide systems that are practical, incorporate proven technological developments, have a pleasing appearance and are inviting to use. When undertaking a project we work with our customers to establish their detailed requirements. We then develop clear functional specifications and guidelines to ensure that our solution is fit for purpose and is executed with controlled project management. Our customers appreciate the value of our design capabilities and our thorough approach to the completion of projects. The benefits of reduced installation and commissioning times, increased outputs, low maintenance solutions and the overall robustness of the systems we produce have proved to add significant value for our customers."
Anitech Group,91 089 760 567, 1300 802 163,," Suite 6, 9-11 Hamilton PlaceMount Waverley VIC 3149",info@anitechconsulting.com.au,http://www.anitechgroup.com,"Anitech Consulting is a client focused Business management Systems consultancy with over 12 years' experience in Business Management Systems, Business Process management, Auditing, Consulting Services and Occupational Hygiene. Our specialisation include Quality, safety, Environment, Information Security, Rehabilitation and Food Management Systems. Our vision is to provide specialist advice and on-demand consulting services to clients, to support them in meeting their goals. Anitech Consulting offers a broad spectrum of services tailored to support the individual needs of the client. Our management team and consultants are committed to building lasting relationships. They work and engage with industry leaders, government bodies and associations to bring best practice to your workplace and staff. Some of the industries and sectors we work with include: manufacturing, professional services, government, construction, transportation, food and healthcare."
Applied Machinery,11158413524, 03 9706 8066, 03 9706 8066, 55-61 Nissan DriveDandenong VIC 3175,daniel@appliedmachinery.com.au,https://www.appliedmachinery.com.au,"At Applied, we're very proud to be a newly accepted associate member of SEMMA. Based in Dandenong, we hold one of Australia's largest range of Sheetmetal, Engineering, Plastics & Recycling machinery. Our core offerings include Fiber Lasers, CNC Pressbrakes, CNC Machining Centres & Lathes, Shredders, Complete Recycling Lines, CNC Plasma Cutting Machines and more. Our experienced team is here to assist wherever possible whether that be sales, service or support."
APT Asia Pacific Pty Ltd,72 066 046 231, 03 8792 8000, 03 8792 8001," Factory 3, Dunlopillo DriveDandenong South VIC 3175",,http://www.advpolytech.com,"Advanced Polymer Technology Australasia Pty Ltd (APTA) is a well respected world leader in the design and manufacture of synthetic sports surfaces. Their modern purpose built manufacturing premises is located in Dandenong and houses their office, warehouse and manufacturing facilities - including a dedicated R&D facility. Advanced Polymer Technology Australasia Pty Ltd (APTA) is a well respected world leader in the design and manufacture of synthetic sports surfaces. Their modern purpose built manufacturing premises is located in Dandenong and houses their office, warehouse and manufacturing facilities - including a dedicated R&D facility. Melbourne is APTA's head office with sales offices in Queensland, New Zealand and Hong Kong. Advanced Polymer Technology Corporation is an innovative supplier of coatings and adhesive raw materials for the construction, maintenance, architectural, transportation, furniture and industrial finishing markets. Raw materials include aliphatic and aromatic based polyisocyanate prepolymers, polyester, polyol and polyether co-reactants for one and/or two-component systems like liquid moisture cured adhesives, reactive hot-melt adhesives, coatings, sealants and other polyurethane (PUR) related products. With more than fifteen years experience APTA has become a globally respected manufacturer and they have successfully built their brands of Poligras, Supergrasse, Spurtan and Rekortan in both local and international markets. Such is the market status of the Company that their products featured at the following world class events: - 2008 Beijing Olympic Hockey Pitches - 2006 Doha Asian Games Hockey Pitches - 2006 Commonwealth Games Melbourne Hockey Pitches - 2001 Brisbane Goodwill Games Running Track"
ARCO Pty Ltd,, (03) 9587 3616, (03) 9587 3670, 29-31 Macbeth StreetBraeside VIC 3195,info@arco.com.au,https://www.arco.com.au/,"Incorporated in 1993, Arco Pty Ltd is an innovative leader in the design, manufacture, installation & service of commercial doors and unique electro-mechanical and hydraulic devices. "
Arrow MPS,79 155 597 961, 03 9551 4371,, 46-48 Licola CresDandenong South VIC 3199,info@arrowmps.com.au,http://arrowmps.com.au/,"Our core business is supplying parts and service to industrial niches. We have the capability to design and build machines to perform a wide range of functions. We also provide parts for urgent breakdowns, when they are hard to get or as an alternative to OEM parts. If you have any machining work or projects that we can assist you with we’d be happy to talk to you."
Ashfords,, 03 9551 2822, 03 9551 7037," Level 3, 148 Logis BoulevardDandenong South VIC 3175",info@ashfords.com.au,http://www.ashfords.com.au/,"Ashfords is a proactive financial and business advisory firm servicing Dandenong and Melbourne’s South East suburbs. Based in Dandenong South, Ashfords have a team of more than 80 accountants and advisors who are ready to help businesses and individuals thrive. As a one-stop-shop for all businesses, Ashfords provides quality financial and strategic advice in the areas of: Accounting, Taxation, Business management & advisory, Audit & assurance, Financial Planning, Self-managed Super Funds, Bookkeeping, Commercial & business lending, Digital transformations and dashboarding."
Atticus Health,, 03 9069 6777, 03 9069 6778," Headquarters: 258 Highett Road,Highett VIC 3190",fgomes@atticushealth.com.au,https://atticushealth.com.au/,We are a supplier of medical services throughout Victoria. Our area of expertise includes occupational medicine and we currently provide services to many companies ranging in size from small to large.
Australian General Engineering,36 713 247 738, 03 9540 4900,, 62-64 Bond Street WestMordialloc VIC 3195,,http://www.austgen.com.au,"Australian General Engineering is a privately owned company that provides a comprehensive array of services to the metal manufacturing industry. We have benefited from generational experience that has provided Leadership, Knowledge, and Expertise. This, along with constant investment in the latest processing technology, continued development and training of staff and ISO 9001-2008 Accreditation, has established our reputation as a leader in engineering and manufacturing of metal fabricated products. Since 1999 Australian General Engineering has been assisting their customers with the development of their products, constantly providing them with quality manufactured goods at extremely competitive prices. It is for this reason that Australian General Engineering has been able to meet the needs of a diverse and sophisticated market with organisations such as the Department of Defence, Original Equipment vehicle and component manufacturers (OEM), and many others in the Government, Private and Public Sector. Our successful management team come from diverse backgrounds within the industry and by bringing together their experience, expertise and capabilities; we achieve our aim to exceed our customer's expectations, providing them with total confidence and customer satisfaction. Our comprehensive range of metal fabrication services include:  Laser Cutting  Turret Punching  Brake Pressing  Machining  Tube Bending  Pressing & Stamping  MIG & TIG Welding  Assembly & Fabrication  Finishing & Coating With the continual improvement approach and dedication to achieving the highest possible standard in customer satisfaction, Australian General Engineering are focused on remaining a leader within its industry, committed to delivering the highest quality products and services to specification, and on time."
Australian Inhibitor Pty Ltd,16 004 602 608, 03 9768 2322, 03 9768 2111, 6 Nicholas DriveDandenong South VIC 3175,mark@australianinhibitor.com.au,http://www.australianinhibitor.com.au,"Australian Inhibitor (AI) formed in 1955 celebrates over 60 years of service and product solution supply to the Automotive, Engineering, Marine, Mining, Defence and Arts industries. AI are a ""specialty niche Research and Development Company"" dedicated to manufacturing ""Volatile Corrosion Inhibitor"" (VCI) and related products and services. Our laboratory operating from Dandenong in Victoria Australia allows the close study and consideration of VCI migratory conditions in many packaging materials. We provide VCI Coated papers of varying sizes and extra-large VCI Laminate barrier bags termed Ferro Foil. Ferro Foil is virtually moisture and vapour proof forming an integral part of total packaging supply. This product carries MIL SPEC NATO Stock numbered to NSN 8135 -66-158-8104 recognized worldwide. Australian Inhibitor has been at the forefront in developing new products Locally and Internationally receiving prestigious Global Awards for Packaging Materials on (3) separate occasions - 2006, 2011 & 2013/2014. These awards are the result of AI's rigorous laboratory testing for its solutions for the wider range of Industrial Auto, Engineering, Mining, Defence and Arts."
Australian Precision Technologies Pty Ltd,48 006 132 458, 9768-9400, 9768-9411, 26-28 Intrepid StreetBerwick VIC 3806,,http://www.aptengineering.com/,"Australian Precision Technologies is a family owned and operated business that offers Repetition and Precision Manufacturing through Total Engineering Solutions. Since our humble beginnings in the early 90's APT has grown to be an Australian success story, setting market leads on National and Global fronts with clients in Aero-Space, Defence, Automotive, Bio-Medical, Telecommunications and more. APT offers an equitable mix to customers with the latest Integration in Manufacturing, Technology, Quality Assurance and Electronic Communication Systems for Logistics Delivery. Ranked in the top 25% of manufacturers providing industry benchmarks; APT is expanding its operations to meet growing demands and servicing customer needs with Maximum Customer Enterprise Value."
Australian Rollforming,19 079 800 641, 03 8769 7444, 03 8768 7496, 17 - 23 Gaine RoadDandenong South VIC 3175,,http://www.ausrollform.com.au,"Australian Rollforming is widely regarded as Australiaﾒs leading special sections metal rollforming company, especially in the heavy sections market. Established in 2001 Australian Rollforming provides a world class metal design, rollforming, fabrication & project management service to a wide range of national and international engineering projects. In 2003 Australian Rollforming acquired the Special Sections Business, equipment & IP of BHP Steel Lysaght & this included Australia's most comprehensive range of profiles & sections. With state of the art manufacturing facilities located in Melbourne, Australia & a joint venture rollforming & engineering operation in Malaysia, Australian Rollforming has the capability to rollform sections in a wide range of metals including stainless steel, aluminium, mild steel, copper & all types of coated steels, in thicknesses from 0.30mm to 10mm. In total Australian Rollforming has more than 1,300 established profile designs & sections, & combined with our off-line tooling setup allows us to be highly flexible with production runs which greatly assists when it comes to meeting tight delivery schedules. In addition to this extensive range of ""standard"" products ARM also has a comprehensive in-house product design & engineering service. All of Australian Rollforming's manufacturing processes have been designed to produce components to the highest quality standards, very tight tolerances and with exact precision. We create, test and improve the design of all the profiles and sections that we work with, to optimise the integrity of the overall project in terms of quality and cost effectiveness. And of course we are certified to ISO 9001. Our reputation for reliability sets us apart from our competitors - we deliver components entrusted to us on spec, on time, every time."
AutoPacific Group,60 004 546 543, 03 9701 9500, 03 9701 9600, PO Box 4397Dandenong South VIC 3164,,http://www.horizonglobal.com.au/,"AutoPacific Group is a designer, manufacturer and distributor of a wide variety of high-quality, custom-engineered towing, trailering, cargo management and other related accessory products on a global basis, serving the automotive aftermarket, retail and OE channels. Our business is comprised of two reportable segments: Cequent Americas and Cequent APEA. Cequent Americas has historically operated primarily in North America, and we believe has been a leader in towing and trailering-related products sold through retail, aftermarket and OE channels. Over the past few years, we have penetrated the Latin America market, which is in the early stages of its development for automotive accessories, and appears to be following the historical development pattern of the United States and Canadian markets. Cequent APEA focuses its sales and manufacturing efforts outside of the Americas, historically operating primarily in Australia, and we believe has been a leader in towing related products sold through the aftermarket and OE channels. Over the past few years, we have expanded our footprint into other areas of the Asia Pacific region, Europe, the United Kingdom and South Africa, primarily as a result of acquisitions. We are in the early stages of our development in these markets, initially focusing primarily on supporting OE customers. Our products are used in two primary categories across the world: commercial applications (""Work"") and recreational activities (""Play""). Some of the markets in our Work category include agricultural, automotive, construction, fleet, industrial, marine, military, mining and municipalities. Some of the markets in our Play category include equestrian, power sports, recreational vehicle, specialty automotive, truck accessory and other specialty towing applications. We believe that the primary brands we offer are among the most recognized in the markets we serve and are known for quality, safety and performance. Our products reach end consumers through many avenues including independent installers, warehouse distributors, dealers, OE, retail stores and online retailers."
