,name,price,change,volume,relative_volume,market_cap,pe,eps_diluted,eps_diluted_growth,dividends_yield,sector
0,"Agilent Technologies, Inc.",108.94,-3.91603457,3622519,2.20605324,31874459027,28.56918074,3.8132,-13.21407438,0.812374,Health Technology
1,Alcoa Corporation,26.9,-4.06562054,4851815,0.89616841,4800294588,,-8.1519,-259.8631185,1.48699,Non-Energy Minerals
2,"Asia Broadband, Inc.",0.014,-18.12865497,36715899,5.67806551,34565229,8.75,0.0016,,0,Finance
3,Aberdeen International Inc.,0.022,5.56621881,20000,1.00179321,3187300.16,,-0.09890595,-12.95622462,0,Finance
4,Ares Acquisition Corporation,10.77,0,6609,0.02541265,760407948,,-0.0885,-134.0122982,0,Finance
5,Ares Acquisition Corporation,10.87,-0.09191176,101,0.2202355,760407948,,,,0,Finance
6,AAC Technologies Holdings Inc,1.66,-10.75268817,333,0.08787671,1989510043,23.47125495,0.07072481,-73.04484441,0.846262,Electronic Technology
7,AAC Technologies Holdings Inc,1.7125,-3.24858757,16885,0.41482613,2171586646,24.18785311,0.0708,-73.04910544,0.680033,Electronic Technology
8,ATA Creativity Global,1.1,0,3023,0.92170254,34514613,,-0.2072,36.36363636,0,Commercial Services
9,Armada Acquisition Corp. I,10.63,-0.37488285,315,0.26794828,97991100,,-0.0279,86.19495299,0,Finance
10,Ares Acquisition Corporation II,10.2833,0.03210117,1919,0.02010786,642706000,,,,0,Finance
11,Ares Acquisition Corporation II,10.44,0.57706573,3000,0.17120258,653438000,,,,0,Finance
12,Aurora Solar Technologies Inc.,0.02046,-0.48638132,2001,0.07066077,4106841.684,,-0.0128248,44.19999868,0,Electronic Technology
13,"Aadi Bioscience, Inc.",4.2,-4.10958904,71139,0.50361362,102983404,,-2.4342,78.78230551,0,Health Technology
14,Altair Res Inc,0.002944,-81.82716049,500,0.01642182,334455.4153,,-0.00618608,87.45365788,0,Non-Energy Minerals
15,Airtel Africa Plc,1.5,-4.45859873,3184,0.3120345,5637227618,15.631663,0.09595908,-41.11844969,3.67851,Communications
16,All American Gold Corp.,0.0005,25,19175000,2.62167605,48318,,0,,0,Non-Energy Minerals
17,Aftermath Silver Ltd.,0.1185,-5.57768924,3236,0.03718587,24563039.09,,-0.03821916,25.01137509,0,Non-Energy Minerals
18,America Great Health,0.003,-44.44444444,7500,0.04281763,63281454.22,,,,0,Health Technology
19,"AIA Group, Ltd.",35.37,0.14156285,474264,1.18699953,1.02399E+11,33.19568278,1.0655,-52.83102395,2.06003,Finance
20,Astra Agro Lestari TBK,2.39,-1.64609053,250,0.17349063,893055396.5,10.89831281,0.2193,-42.97971919,4.13606,Process Industries
21,Arlington Asset Investment Corp,4.41,-1.34228188,50013,0.63835735,129122872,16.32728619,0.2701,,0,Finance
22,Arlington Asset Investment Corp 7.00%,20.39,-0.2446184,304,0.1915564,129122872,75.49055905,0.2701,,0,Finance
23,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,24,0,6447,2.17341469,129122872,88.85597927,0.2701,,0,Finance
24,"AIA Group, Ltd.",8.825,1.0882016,32071,0.66133682,1.0103E+11,33.14060858,0.26628962,-52.80126832,2.22414,Finance
25,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,23.5,0,643,0.38285204,129122872,87.00481303,0.2701,,0,Finance
26,American Aires Inc.,0.0473,-31.0997815,540,0.33864292,788020.1022,,,,0,Commercial Services
27,"American Airlines Group, Inc.",12.06,-3.36538462,50280256,1.28817724,7879551141,3.27015375,3.6879,,0,Transportation
28,A. Alberts Industries,35.06,-0.98842135,117,0.19650655,3876938467,11.25308624,3.11558974,45.62346902,3.35044,Producer Manufacturing
29,Altisource Asset Management Corp Com,6.81,4.28790199,10501,1.01411906,11974847,,-8.3998,-1126.785453,0,Finance
30,Atlantic American Corporation,1.86,2.1978022,310,0.09322467,37948253,241.5584416,0.0077,-92.94225481,1.07527,Finance
